1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	11
24	100
25	401
26	1001
27	1929
28	3354
29	5109
30	7006
31	9036
32	10601
33	11594
34	12336
35	13060
36	14084
37	14932
38	15412
39	16302
40	18047
41	20173
42	22079
43	23425
44	23910
45	23978
46	24591
47	25408
48	25633
49	25470
50	25141
51	24670
52	24731
53	24827
54	24992
55	25043
56	24214
57	23644
58	23793
59	24605
60	25212
61	25352
62	24647
63	23381
64	22822
65	22132
66	21369
67	19858
68	18629
69	17727
70	17534
71	17678
72	17714
73	17210
74	16230
75	14972
76	13816
77	13050
78	12066
79	11408
80	10291
81	9219
82	8392
83	7844
84	7432
85	6839
86	6288
87	5990
88	5941
89	5912
90	5937
91	5886
92	5354
93	4711
94	4399
95	4074
96	3566
97	3248
98	3018
99	2675
100	2815
101	2784
102	2720
103	2518
104	2166
105	1870
106	1622
107	1620
108	1383
109	1407
110	1167
111	1040
112	898
113	1054
114	856
115	925
116	820
117	755
118	733
119	804
120	819
121	711
122	633
123	562
124	528
125	463
126	420
127	312
128	325
129	249
130	173
131	209
132	203
133	121
134	98
135	27
136	14
137	9
138	4
139	4
140	0
141	0
142	0
143	0
144	0
